"","Acct #","Licensee","Hybrid Name
(Optional)","Female Inbred
(Required)","Male Inbred
(Required)","Hybrid Trait, Trait Stack 
or Non-Traited Type
(Required)","Female Inbred
(Secondary - 5.5%)","Male Inbred
(Secondary - 5.5%)","Beginning  Inventory
(2013 Carryover)","Last Year Production
(Summer 2013 & Winter 2013-14)","Wholesale In","Final Units Sold or Transferred to Growers
(including test/plot seed)","Wholesale Out","GT units used from inventory for E-Z Refuge Blending component","Discard Units","Ending Inventory 
(2014 Carryover)","Replant Units","CRW Claims","Trait Investment Loss Units","2014 Production for your Retail Brand
(Summer 2014 & 
Winter 2014-15)","Use this column for any clarifications or comments"
"","C12345","XX Seed Corn Company","","GP668GTCBLL","GP669DC","Agrisure Duracade® 5122 E-Z Refuge®","GP668GT","GP669","","","","","","","","0","","","","2000",""
"","C12345","XX Seed Corn Company","","GP4118DC","GP623GTCBLLBL","Agrisure Duracade® 5222 E-Z Refuge®","SGI996GT","SGI07MB97","","","","","","","","0","","","","1400",""
"","C12345","XX Seed Corn Company","","GP3622GTCBLLRWBL","GP374","Agrisure Viptera® 3111","","","89","","","t8","","","","81","","","","",""
"","C12345","XX Seed Corn Company","","GP6467GTCBLLRWBL","Non-GreenLeaf","Agrisure Viptera® 3111","","","45","","","t24","","","","21","","","","",""
"","C12345","XX Seed Corn Company","","MBS8211GT","GP237CBLLRWBL","Agrisure Viptera® 3111","","","48","","","t20","","","","28","","","","",""
"","C12345","XX Seed Corn Company","","MBS2209","Non-GreenLeaf","Agrisure® 3000GT","","","","","","t50","","","","","","","","",""
"","C12345","XX Seed Corn Company","","MBS2209","Non-GreenLeaf","Agrisure Viptera® 3110","","","","","","t24","","","","","","","","",""
"","C12345","XX Seed Corn Company","","GP234GT","NP2529CBLLRW","Agrisure® 3000GT","","","332","","","t12","","","","0","","","","",""
"","C12345","XX Seed Corn Company","","GP3622GT","GP217CBLLRW","Agrisure® 3000GT","","","69","","","t2","","","","67","","","","",""
"","C12345","XX Seed Corn Company","","GP3622GTCBLLRW","GP5435","Agrisure® 3000GT","","","20","","","t2","","","","18","","","","",""
"","C12345","XX Seed Corn Company","","GP4118GTCBLLRW","GP6823","Agrisure® 3000GT","","","70","","","t70","","","","0","","","","",""
"","C12345","XX Seed Corn Company","","GP6467GTCBLLRW","Non-GreenLeaf","Agrisure® 3000GT","","","8","","","","","","","8","","","","",""
"","C12345","XX Seed Corn Company","","GP7169GTCBLLRW","GP6823","Agrisure® 3000GT","","","198","900","","t57","","","","1092","","","","",""
"","C12345","XX Seed Corn Company","","MBS8211GT","GP237CBLLRW","Agrisure® 3000GT","","","0","","","","","","","0","","","","",""
"","C12345","XX Seed Corn Company","","NP2660GTCBLLRW","NP2727","Agrisure® 3000GT","","","400","","","t264","","","16","13","","","","",""
"","C12345","XX Seed Corn Company","","SGI996GTCBLLRW","Non-GreenLeaf","Agrisure® 3000GT","","","9","","","","","","","9","","","","",""
"","C12345","XX Seed Corn Company","","NP2660CBLL","NP2727","Agrisure® CB/LL","","","0","","","","","","","0","","","","",""
"","C12345","XX Seed Corn Company","","NP2623CBLLRW","MBS2302","Agrisure® CB/LL/RW","","","32","","","","","","","32","","","","",""
"","C12345","XX Seed Corn Company","","GP217GT","GP368","Agrisure® GT","","","43","","","t6","","","","37","","","","",""
"","C12345","XX Seed Corn Company","","GP3622GT","GP374","Agrisure® GT","","","46","","","","","","10","36","","","","",""
"","C12345","XX Seed Corn Company","","GP4118GT","GP6823","Agrisure® GT","","","57","804","","t347","","","","514","","","","850",""
"","C12345","XX Seed Corn Company","","GP623","GP4118GT","Agrisure® GT","","","","368","","t347","","","","21","","","","",""
"","C12345","XX Seed Corn Company","","GP668GT","GP669","Agrisure® GT","","","","","","","","","","0","","","","850",""
"","C12345","XX Seed Corn Company","","GP7169GT","GP6823","Agrisure® GT","","","43","","42","t85","","","","0","","","","",""
"","C12345","XX Seed Corn Company","","GP7169GT","Non-GreenLeaf","Agrisure® GT","","","365","","","t446","","","","0","","","","",""
"","C12345","XX Seed Corn Company","","NP2660GT","NP2727","Agrisure® GT","","","15","","","t14","","","","1","","","","",""
"","C12345","XX Seed Corn Company","","GP237","MBS8211","Conventional, CL, or LL","","","20","0","0","20","0","","","0","","","","",""
"","C12345","XX Seed Corn Company","","GP245","GP246","Conventional, CL, or LL","","","166","","150","307","","","","9","","","","",""
"","C12345","XX Seed Corn Company","","GP3127","GP574","Conventional, CL, or LL","","","0","1216","1455","2382","","","","289","","","","3200",""
"","C12345","XX Seed Corn Company","","GP3127","MBS8383","Conventional, CL, or LL","","","29","","","29","","","","0","","","","",""
"","C12345","XX Seed Corn Company","","GP373","GP374","Conventional, CL, or LL","","","325","","","325","","","","0","","","","",""
"","C12345","XX Seed Corn Company","","GP6438","GP7539","Conventional, CL, or LL","","","1008","1460","","1785","","","","1011","","","","",""
"","C12345","XX Seed Corn Company","","GP7169","GP6823","Conventional, CL, or LL","","","154","2034","","937","854","","","397","","","","",""
"","C12345","XX Seed Corn Company","","Non-GreenLeaf","GP374","Conventional, CL, or LL","","","49","","","38","","","","11","","","","",""
"","C12345","XX Seed Corn Company","","NP2660","NP2727","Conventional, CL, or LL","","","98","","","98","","","","0","","","","",""
"","C12345","XX Seed Corn Company","","NP2660LL","NP2727","Conventional, CL, or LL","","","96","","","93","","","3","0","","","","",""
"","K12345","AB Seeds","","MBS8211GT","GP237CBLLRWBL","Agrisure Viptera® 3111","","","48","153","0","t12","0","0","0","189","0","0","0","0",""
"","K12345","AB Seeds","","MBS3644GT","Non-GreenLeaf","Agrisure® GT","","","10","0","0","t0","0","0","0","10","0","0","0","0",""
"","K12345","AB Seeds","","MBS8211GT","GP237","Agrisure® GT","","","0","50","0","t12","0","0","","38","0","0","0","0",""
"","K12345","AB Seeds","","NP2660GT","NP2727","Agrisure® GT","","","10","0","0","t0","0","0","9","0","0","0","0","0",""
"","K12345","AB Seeds","","GP260GT","NP2546CBLL","Agrisure® GT/CB/LL","","","4","0","0","t0","0","0","0","0","0","0","0","0",""
"","K12345","AB Seeds","","NP2660GTCBLL","NP2727","Agrisure® GT/CB/LL","","","4","0","0","t0","0","0","4","0","0","0","0","0",""
"","K12345","AB Seeds","","GP280","GPX274","Conventional, CL, or LL","","","58","0","0","0","0","0","0","58","0","0","0","0",""
"","L78945","CD Hybrids","","NP2660GTCBLL","GP477DC","Agrisure Duracade® 5122 E-Z Refuge®","NP2660GT","GP477","","","","","","","","0","","","","",""
"","L78945","CD Hybrids","5839","NP2660GTCBLL","GP477DC","Agrisure Duracade® 5122 E-Z Refuge®","NP2660GT","GP477","","160","","t124","","","","36","","","","",""
"","L78945","CD Hybrids","4848","GP3622GTCBLLRWBL","GP5435","Agrisure Viptera® 3111","","","188","","","","","","","188","","","","",""
"","L78945","CD Hybrids","5546","GP6467GTCBLLRWBL","GP4604","Agrisure Viptera® 3111","","","13","","","","","","","13","","","","",""
"","L78945","CD Hybrids","6396","GP7169GT","SGI847CBLLRWBL","Agrisure Viptera® 3111","","","6","","","","","","","6","","","","",""
"","L78945","CD Hybrids","3276","GP2678GTCBLLBL","GP3030HX1","Agrisure Viptera® 3220 Refuge Renew™","","","","240","","t2","","","","238","","","","",""
"","L78945","CD Hybrids","5014","GP3622GTCBLLRW","GP217","Agrisure® 3000GT","","","3","","","","","","","3","","","","",""
"","L78945","CD Hybrids","4844","GP3622GTCBLLRW","GP5435","Agrisure® 3000GT","","","59","","","","","","","59","","","","",""
"","L78945","CD Hybrids","5534","GP4118GTCBLLRW","GP6823","Agrisure® 3000GT","","","97","1010","","t815","","","","292","","","","",""
"","L78945","CD Hybrids","","GP518GT","NP2727CBLLRW","Agrisure® 3000GT","","","","","","","","","","0","","","","",""
"","L78945","CD Hybrids","5054","GP518GT","NP2727CBLLRW","Agrisure® 3000GT","","","","300","","t266","","","","34","","","","",""
"","L78945","CD Hybrids","4974","GP623","GP4118GTCBLLRW","Agrisure® 3000GT","","","","","","","","","","0","","","","",""
"","L78945","CD Hybrids","6202","GP6467GTCBLLRW","LH324","Agrisure® 3000GT","","","148","","","t16","","","","132","","","","",""
"","L78945","CD Hybrids","6003","GP6467GTCBLLRW","MBS5630","Agrisure® 3000GT","","","10","","","","","","","10","","","","",""
"","L78945","CD Hybrids","6394","GP7169GT","SGI847CBLLRW","Agrisure® 3000GT","","","109","515","","t180","","","","444","","","","",""
"","L78945","CD Hybrids","6124","GP7169GTCBLLRW","GP6823","Agrisure® 3000GT","","","99","","","t78","","","","21","","","","",""
"","L78945","CD Hybrids","6195","GP7169GTCBLLRW","Non-GreenLeaf","Agrisure® 3000GT","","","291","","","t39","","","","252","","","","",""
"","L78945","CD Hybrids","5984","GP7169GTCBLLRW","TR6331","Agrisure® 3000GT","","","355","","","t61","","","","294","","","","",""
"","L78945","CD Hybrids","4943","MBS8383GT","GP3127CBLLRW","Agrisure® 3000GT","","","115","","","","","","","115","","","","",""
"","L78945","CD Hybrids","4304","NP2623GTCBLLRW","GP3030","Agrisure® 3000GT","","","","","","","","","","0","","","","",""
"","L78945","CD Hybrids","5834","NP2660GTCBLLRW","GP477","Agrisure® 3000GT","","","1585","","","515","420","","","650","","8","","",""
"","L78945","CD Hybrids","5494","NP2660GTCBLLRW","NP2727","Agrisure® 3000GT","","","599","","","t394","175","","","30","","","","",""
"","L78945","CD Hybrids","5495","NP2660GTCBLLRW","NP2727HXT","Agrisure® 3122 Refuge Renew™","","","4","1793","","t1785","","","","12","","","","",""
"","L78945","CD Hybrids","5695","NP2608","NP2529CBLLRW","Agrisure® CB/LL/RW","","","264","","","t82","","","","182","","","","",""
"","L78945","CD Hybrids","5532","GP4118GT","GP6823","Agrisure® GT","","","25","382","","t136","120","","","151","","","","",""
"","L78945","CD Hybrids","6412","GP474GT","GP667","Agrisure® GT","","","","494","","t49","","","","445","","","","",""
"","L78945","CD Hybrids","6392","GP7169GT","SGI847","Agrisure® GT","","","22","","","","","","","22","","","","",""
"","L78945","CD Hybrids","5982","GP7169GT","TR6331","Agrisure® GT","","","55","400","","t185","","","","270","","","","",""
"","L78945","CD Hybrids","4882","MBS8211GT","GP237","Agrisure® GT","","","57","","","t54","","","","3","","","","",""
"","L78945","CD Hybrids","","NP2660GT","NP2727","Agrisure® GT","","","","","","","","","","0","","","","",""
"","L78945","CD Hybrids","5492","NP2660GT","NP2727","Agrisure® GT","","","148","","","t140","","","","8","","","","",""
"","L78945","CD Hybrids","5420","SGI984GT","GL62","Agrisure® GT","","","26","650","","","","","","676","","","","",""
"","L78945","CD Hybrids","","SGI984GT","GL62","Agrisure® GT","","","","","","","","","","0","","","","",""
"","L78945","CD Hybrids","5062","SGI984GT","GL62","Agrisure® GT","","","42","700","","t738","","","","4","","","","",""
"","L78945","CD Hybrids","5833","NP2660GTCBLL","GP477","Agrisure® GT/CB/LL","","","240","","","t20","203","","","17","","","","",""
"","L78945","CD Hybrids","5493","NP2660GTCBLL","NP2727","Agrisure® GT/CB/LL","","","167","","","t5","","","","162","","","","",""
"","L78945","CD Hybrids","5750","GP6438","GP7539","Conventional, CL, or LL","","","247","","","150","","","","97","","","","",""
"","L78945","CD Hybrids","5010","GP3127","GP574","Conventional, CL, or LL","","","","1455","","1014","","","","441","","","","",""
"","L78945","CD Hybrids","5000","GP373","GP374","Conventional, CL, or LL","","","135","","","91","","","","44","","","","",""
"","T45678","XY Seeds","TA370-30","NP2623GTCBLLBL","GP3030","Agrisure Viptera® 3110","","","3","","","3","","","","0","","","","",""
"","T45678","XY Seeds","TA625-30","GP280GTCBLLBL","GP6823","Agrisure Viptera® 3110","","","","","","","","","","0","","","","600",""
"","T45678","XY Seeds","TA765-30","GP280GTCBLLBL","GPX274","Agrisure Viptera® 3110","","","","","933","340","","","","593","","","","",""
"","T45678","XY Seeds","TA533-31","GP217GTCBLLRWBL","GP368","Agrisure Viptera® 3111","","","47","","","46","","","","1","","","","",""
"","T45678","XY Seeds","TA688-31","GP237CBLLRWBL","MBS8814GT","Agrisure Viptera® 3111","","","327","","312","426","","","","213","","","","",""
"","T45678","XY Seeds","TA451-31","NP2623GTCBLLBL","GP3127RW","Agrisure Viptera® 3111","","","35","","2415","1238","","","","1212","","","","",""
"","T45678","XY Seeds","TA510-31","GP3622GTCBLLRWBL","GP217","Agrisure Viptera® 3111","","","127","","","127","","","","0","","","","",""
"","T45678","XY Seeds","TA290-31","GP3622GTCBLLRWBL","GP3030","Agrisure Viptera® 3111","","","14","","","14","","","","0","3","","","",""
"","T45678","XY Seeds","TA477-31","GP3622GTCBLLRWBL","GP5435","Agrisure Viptera® 3111","","","4","","1293","1161","","","","136","","","","",""
"","T45678","XY Seeds","TA607-31","GP6467GTCBLLRWBL","GP7392","Agrisure Viptera® 3111","","","446","","","404","","","","42","","","","",""
"","T45678","XY Seeds","X19935","GP678GTCBLLBL","GP3127RW","Agrisure Viptera® 3111","","","","","","","","","","0","","","","",""
"","T45678","XY Seeds","TA370-31","NP2623GTCBLLBL","GP3030RW","Agrisure Viptera® 3111","","","","","1434","497","","","","937","3","","","",""
"","T45678","XY Seeds","TA566-31","GP280GTCBLLBL","MBS5411RW","Agrisure Viptera® 3111","","","","","","","","","","0","","","","420",""
"","T45678","XY Seeds","TA790-31","GP280GTCBLLBL","MBS8814RW","Agrisure Viptera® 3111","","","","","","","","","","0","","","","540",""
"","T45678","XY Seeds","TA794-32","MBS3644GTCBLLBL","GP606HX1","Agrisure Viptera® 3220 Refuge Renew™","","","","1091","","31","","","","1060","","","","",""
"","T45678","XY Seeds","TA370-32","NP2623GTCBLLBL","GP3030HX1","Agrisure Viptera® 3220 Refuge Renew™","","","2","","","2","","","","0","","","","",""
"","T45678","XY Seeds","TA232-20Old","GP2678GT","GP3030CBLLRW","Agrisure® 3000GT","","","","","","","","","","0","","","","",""
"","T45678","XY Seeds","TA790-20","GP280","MBS8814GTCBLLRW","Agrisure® 3000GT","","","15","","","15","","","","0","","","","",""
"","T45678","XY Seeds","TA092-20","GP3127RW","NP2536GTCBLL","Agrisure® 3000GT","","","68","","210","278","0","","","0","","","","",""
"","T45678","XY Seeds","TA617-20","GP7169GTCBLLRW","GP6823","Agrisure® 3000GT","","","46","957","","820","","","","183","","","","",""
"","T45678","XY Seeds","TA717-20","MBS8814GT","GP7169CBLLRW","Agrisure® 3000GT","","","49","","","49","","","","0","","","","",""
"","T45678","XY Seeds","TA092-20","NP2536GTCBLL","GP3127RW","Agrisure® 3000GT","","","","","","","","","","0","","","","",""
"","T45678","XY Seeds","TA565-20","NP2643GT","NP2727CBLLRW","Agrisure® 3000GT","","","16","","1493","581","638","","","290","","","","",""
"","T45678","XY Seeds","TA575-20","NP2660GTCBLLRW","Non-GreenLeaf","Agrisure® 3000GT","","","740","","","399","","","","341","","","","450",""
"","T45678","XY Seeds","TA545-20","NP2660GTCBLLRW","NP2727","Agrisure® 3000GT","","","59","","879","690","","","","248","","","","",""
"","T45678","XY Seeds","TA550-20ND","SGI996GTCBLLRW","Non-GreenLeaf","Agrisure® 3000GT","","","5","","629","446","5","","","183","","","","320",""
"","T45678","XY Seeds","TA232-20New","GP2678GTCBLLRW","GP3030","Agrisure® 3000GT","","","","374","","324","","","","50","","","","462",""
"","T45678","XY Seeds","TA290-20","GP3622GTCBLLRW","GP3030","Agrisure® 3000GT","","","","","","0","","","","0","","","","420",""
"","T45678","XY Seeds","TA477-20","GP3622GTCBLLRW","GP5435","Agrisure® 3000GT","","","","","382","381","","","","1","","","","2205",""
"","T45678","XY Seeds","TA545-33 EZRefuge","NP2660GTCBLLRW","NP2727HXT","Agrisure® 3122 E-Z Refuge®","NP2660GT","NP2727","","","","","","","","0","","","","",""
"","T45678","XY Seeds","TA290-33","GP3622GTCBLLRW","GP3030HXT","Agrisure® 3122 Refuge Renew™","","","","","1401","837","","","","564","8","","","",""
"","T45678","XY Seeds","TA545-33","NP2660GTCBLLRW","NP2727HXT","Agrisure® 3122 Refuge Renew™","","","46","","3779","787","","","","3038","","","","",""
"","T45678","XY Seeds","TA510-11","GP3622CBLL","GP217","Agrisure® CB/LL","","","8","","","8","","","","0","","","","",""
"","T45678","XY Seeds","TA531-11","GP3622CBLL","GP374","Agrisure® CB/LL","","","171","","","110","61","","","0","","","","",""
"","T45678","XY Seeds","TA575-11","NP2660CBLL","Non-GreenLeaf","Agrisure® CB/LL","","","1","","","1","","","","0","","","","",""
"","T45678","XY Seeds","TA607-31","GP6467CBLL","GP7392","Agrisure® CB/LL","","","7","","","0","","","7","0","","","","",""
"","T45678","XY Seeds","TA711-17NG","GP7169CBLLRW","Non-GreenLeaf","Agrisure® CB/LL/RW","","","480","","","123","","","","357","","","","",""
"","T45678","XY Seeds","TA533-18","GP217GT","GP368","Agrisure® GT","","","7","","340","338","","","","9","","","","",""
"","T45678","XY Seeds","TA232-18","GP2678GT","GP3030","Agrisure® GT","","","104","","","93","","","","11","","","","405",""
"","T45678","XY Seeds","TA790-18","GP280","MBS8814GT","Agrisure® GT","","","","1158","","451","","","","707","","","","",""
"","T45678","XY Seeds","TA765-18","GP280GT","GPX274","Agrisure® GT","","","624","1092","","737","","","","979","","","","",""
"","T45678","XY Seeds","TA510-18","GP3622GT","GP217","Agrisure® GT","","","45","","","45","","","","0","4","","","",""
"","T45678","XY Seeds","TA290-18","GP3622GT","GP3030","Agrisure® GT","","","24","1361","0","1124","","","","261","80","","","600",""
"","T45678","XY Seeds","TA477-18","GP3622GT","GP5435","Agrisure® GT","","","20","","284","298","","","","6","","","","1062",""
"","T45678","XY Seeds","TA371-18","GP440GT","GP3030","Agrisure® GT","","","10","538","","452","","","","96","","","","336",""
"","T45678","XY Seeds","TA617-18","GP7169GT","GP6823","Agrisure® GT","","","92","430","","229","","","","293","","","","",""
"","T45678","XY Seeds","TA717-18","GP7169GT","MBS8814","Agrisure® GT","","","306","","","179","","","","127","","","","",""
"","T45678","XY Seeds","TA688-18","MBS8814GT","GP237","Agrisure® GT","","","151","","","107","","","1","43","","","","",""
"","T45678","XY Seeds","TA108-18","NP2643GT","Non-GreenLeaf","Agrisure® GT","","","196","539","","611","","","1","123","","","","400",""
"","T45678","XY Seeds","TA565-18","NP2643GT","NP2727","Agrisure® GT","","","21","","452","289","","","","184","","","","",""
"","T45678","XY Seeds","TA575-18","NP2660GT","Non-GreenLeaf","Agrisure® GT","","","549","","","396","","","","153","","","","",""
"","T45678","XY Seeds","TA545-18","NP2660GT ","NP2727","Agrisure® GT","","","3","","1263","683","","","","583","","","","",""
"","T45678","XY Seeds","TA481-18ND","SGI996GT","Non-GreenLeaf","Agrisure® GT","","","36","","","36","","","","0","","","","",""
"","T45678","XY Seeds","TA550-18ND","SGI996GT","Non-GreenLeaf","Agrisure® GT","","","156","","544","287","","","1","412","","","","",""
"","T45678","XY Seeds","TA255-18","GP2678GT","GP688","Agrisure® GT","","","0","","","0","","","","0","","","","405",""
"","T45678","XY Seeds","TA566-18","GP280GT","Non-GreenLeaf","Agrisure® GT","","","","","","","","","","0","","","","540",""
"","T45678","XY Seeds","TA625-18","GP280GT","GP6823","Agrisure® GT","","","0","","","0","","","","0","","","","600",""
"","T45678","XY Seeds","TA445-18","MBS4131GT","MBS2302","Agrisure® GT","","","","","","","","","","0","","","","405",""
"","T45678","XY Seeds","TA790-19","GP280","MBS8814GTCBLL","Agrisure® GT/CB/LL","","","382","","478","548","","","","312","","","","",""
"","T45678","XY Seeds","TA090-02","Non-GreenLeaf","NP2623","Competitive Traits","","","","","","","","","","0","","","","",""
"","T45678","XY Seeds","TA595-15","Non-GreenLeaf","GP246","Competitive Traits","","","2","","","2","","","","0","","","","",""
"","T45678","XY Seeds","TA533-00","GP217","GP368","Conventional, CL, or LL","","","","","311","250","","","","61","","","","",""
"","T45678","XY Seeds","TA232-00","GP2678","GP3030","Conventional, CL, or LL","","","53","","50","103","","","","0","","","","585",""
"","T45678","XY Seeds","TA765-00","GP280","GPX274","Conventional, CL, or LL","","","987","2266","","439","","","1","2813","","","","",""
"","T45678","XY Seeds","TA790-00","GP280","Non-GreenLeaf","Conventional, CL, or LL","","","109","2368","","103","","","","2374","10","","","",""
"","T45678","XY Seeds","TA370-00","GP3030","NP2623","Conventional, CL, or LL","","","268","1310","","1286","","","","292","","","","1150",""
"","T45678","XY Seeds","TA451-00","GP3127","NP2623","Conventional, CL, or LL","","","29","","","29","","","","0","15","","","",""
"","T45678","XY Seeds","TA290-00","GP3622","GP3030","Conventional, CL, or LL","","","","582","","462","","","","120","","","","1400",""
"","T45678","XY Seeds","TA477-00","GP3622","GP5435","Conventional, CL, or LL","","","52","","","52","","","","0","","","","1076",""
"","T45678","XY Seeds","TA290-08","GP3622LL","GP3030","Conventional, CL, or LL","","","374","0","0","265","","","","109","","","","0",""
"","T45678","XY Seeds","TA617-00","GP7169","GP6823","Conventional, CL, or LL","","","80","474","","403","","","","151","","","","",""
"","T45678","XY Seeds","TA717-00","GP7169","Non-GreenLeaf","Conventional, CL, or LL","","","2","","","2","","","","0","","","","",""
"","T45678","XY Seeds","TA595-12","Non-GreenLeaf","GP246","Conventional, CL, or LL","","","1","","","1","","","","0","","","","",""
"","T45678","XY Seeds","TA095-00","Non-GreenLeaf","GP3127","Conventional, CL, or LL","","","598","","","464","","","","134","","","","",""
"","T45678","XY Seeds","TA090-00","Non-GreenLeaf","NP2623","Conventional, CL, or LL","","","","","","","","","","0","","","","",""
"","T45678","XY Seeds","TA108-00","NP2643","Non-GreenLeaf","Conventional, CL, or LL","","","","","","","","","","0","","","","",""
"","T45678","XY Seeds","TA575-00","NP2660","Non-GreenLeaf","Conventional, CL, or LL","","","","","","","","","","0","","","","",""
"","T45678","XY Seeds","TA545-08","NP2660LL","NP2727","Conventional, CL, or LL","","","","","","","","","","0","","","","",""
"","T45678","XY Seeds","TA255-00","GP2678","GP688","Conventional, CL, or LL","","","0","","","0","","","","0","","","","495",""
"","T45678","XY Seeds","TA545-00","NP2660","NP2727","Conventional, CL, or LL","","","","","","","","","","0","","","","",""
"","T45678","XY Seeds","TA566-00","GP280","Non-GreenLeaf","Conventional, CL, or LL","","","","","","","","","","0","","","","780",""
"","T45678","XY Seeds","","NP2643","Non-GreenLeaf","Conventional, CL, or LL","","","1984","0","0","968","0","","0","1016","","","","",""
"","T45678","XY Seeds","","NP2660LL","NP2727","Conventional, CL, or LL","","","22","0","0","22","0","","","0","","","","",""
"","T45678","XY Seeds","","NP2660","Non-GreenLeaf","Conventional, CL, or LL","","","404","0","0","403","0","","","1","","","","",""
"","P78941","XYZ Seed Company","3085 D5122 EZ","NP2536GTCBLL","GP3030DC","Agrisure Duracade® 5122 E-Z Refuge®","NP2536GT","GP3030","","","180","0","","","","180","","","","",""
"","P78941","XYZ Seed Company","5804 D5122 EZ","NP2660GTCBLL","GP477DC","Agrisure Duracade® 5122 E-Z Refuge®","NP2660GT","gp477","","","180","61","","","","119","","","","",""
"","P78941","XYZ Seed Company","3082 D5222 EZ","GP2678GTCBLLBL","GP3030DC","Agrisure Duracade® 5122 E-Z Refuge®","GP2678GT","GP3030","","","144","0","","","","144","","","","",""
"","P78941","XYZ Seed Company","3190 D5222 EZ","NP2623GTCBLLBL","GP3030DC","Agrisure Duracade® 5122 E-Z Refuge®","GP676","GP4118GT","","","180","100","","","","80","","","","",""
"","P78941","XYZ Seed Company","3082 Vip3220 EZ","GP2678GTCBLLBL","GP3030HX1","Agrisure Viptera® 3220 E-Z Refuge®","GP2678GT","GP3030","","","0","0","","","","0","","","","",""
"","P78941","XYZ Seed Company","3190 Vip  3220 EZ","NP2623GTCBLLBL","GP3030HX1","Agrisure Viptera® 3220 E-Z Refuge®","NP2536GT","GP3030","","400","","27","","","","373","","","","",""
"","P78941","XYZ Seed Company","5804 3122 EZ","NP2660GTCBLLRW","NP2727HXT","Agrisure® 3122 E-Z Refuge®","NP2660GT","NP2727","","145","","49","","","","96","","","","",""
